2.f) Rang lista nekretnina izgradenih 2020. godine koje se prodaju:
+----------------+------------+-------------------------------+-------------+--------------------+------------------+--------------------+------------------+------------------+-------------+----------------------------+-----------+---------------+---------+------+--------+--------+-------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
| Tip nekretnine | Tip ponude |            Lokacija           | Kvadaratura | Stanje nekretnine  | Godina izgradnje | Površina zemljišta |      Sprat       | Ukupna spratnost | Uknjiženost |        Tip grejanja        | Broj soba | Broj kupatila | Parking | Lift | Terasa | Balkon | Lodja |                                                                                 url                                                                                 |      Cena     |
|      Stan      |  Prodaja   |      Beograd, Banovo brdo     |    102 m²   |    Novogradnja     |       2020       |                    |        2         |        4         |      Da     |           Ostalo           |     4     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                      https://www.nekretnine.rs/stambeni-objekti/stanovi/102m2-2t-banovo-brdo-stan/NkZ9VELuFBv/                                      |  235 000 EUR  |
|      Stan      |  Prodaja   |     Novi Sad, Stari Majur     |    99 m²    | Standardna gradnja |       2020       |                    |        1         |        2         |      Da     |           Etažno           |     4     |       1       |    Ne   |  Da  |   Da   |   Ne   |   Ne  |                                     https://www.nekretnine.rs/stambeni-objekti/stanovi/bez-ulaganja-porodican-kutak/NkxU9WwvCE6/                                    |  226 600 EUR  |
|      Stan      |  Prodaja   |        Beograd, Cubura        |    90 m²    | Standardna gradnja |       2020       |                    |    Prizemlje     |        4         |      Ne     |      Klima, Centralno      |     4     |       1       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                                       https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-cerska-464-id464/NkFe9f4qJ1S/                                       |  225 000 EUR  |
|      Stan      |  Prodaja   |    Beograd, Vracar (Centar)   |    90 m²    |    Novogradnja     |       2020       |                    |        1         |        4         |      Da     |         Centralno          |     4     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                   https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-cubura-40-90m2-225000eur/NkhCGvaiLSD/                                   |  225 000 EUR  |
|      Stan      |  Prodaja   |   Beograd, Gundulicev venac   |    78 m²    |    Novogradnja     |       2020       |                    |        3         |        6         |      Da     |      Klima, Centralno      |     3     |       1       |    Ne   |  Da  |   Ne   |   Da   |   Ne  |                                https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-dorcol-bez-ag-provizije-id1033/Nkbc-R7s8-T/                               |  215 000 EUR  |
|      Stan      |  Prodaja   |   Beograd, Gundulicev venac   |    78 m²    |    Novogradnja     |       2020       |                    |        2         |        6         |      Da     |      Klima, Centralno      |     3     |       1       |    Ne   |  Da  |   Ne   |   Da   |   Ne  |                                https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-dorcol-bez-ag-provizije-id1032/NkNwosShDRk/                               |  215 000 EUR  |
|      Stan      |  Prodaja   |     Beograd, Ðeram pijaca     |    105 m²   |    Novogradnja     |       2020       |                    |        1         |        6         |      Da     |           Ostalo           |     4     |               |    Da   |  Da  |   Ne   |   Ne   |   Ne  |                                         https://www.nekretnine.rs/stambeni-objekti/stanovi/105m2-2l-djeram-stan/NkeRAjOsOf0/                                        |  210 000 EUR  |
|      Stan      |  Prodaja   |    Beograd, Beograd na vodi   |    53 m²    |    Novogradnja     |       2020       |                    |        14        |        19        |      Ne     |      Klima, Centralno      |     2     |       1       |    Ne   |  Da  |   Da   |   Ne   |   Ne  |                             https://www.nekretnine.rs/stambeni-objekti/stanovi/beograd-na-vodi-53terasa-u-izgradnji-id1190/NkpJgE0Isa-/                             |  201 000 EUR  |
|      Stan      |  Prodaja   |    Beograd, Beograd na vodi   |    56 m²    |    Novogradnja     |       2020       |                    |        8         |        23        |      Da     |         Centralno          |     2     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |       https://www.nekretnine.rs/stambeni-objekti/stanovi/savski-venac-beograd-na-vodi-parkview-bulevar-vudroa-vilsona-56m2-bulevar-vudroa-vilsona/NksPTjOzQdx/      |  195 000 EUR  |
|      Stan      |  Prodaja   |      Beograd, Crveni krst     |    65 m²    |    U izgradnji     |       2020       |                    |        2         |        8         |      Ne     |           Etažno           |     2     |       1       |    Ne   |  Da  |   Ne   |   Ne   |   Ne  |                       https://www.nekretnine.rs/stambeni-objekti/stanovi/crveni-krst-kajmakcalanska-65m2-direktna-prodaja-id1356/NkEyKgcvrCD/                       |  192 390 EUR  |
|      Stan      |  Prodaja   |      Nova Pazova, Centar      |    111 m²   | Završena izgradnja |       2020       |                    |        1         |        3         |      Da     | Podno, Plinska pec, Etažno |     3     |       1       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                                 https://www.nekretnine.rs/stambeni-objekti/stanovi/-nova-pazova-lux-cetvorosoban-stan-/Nk-MzCMBRpr/                                 |  188 700 EUR  |
|      Stan      |  Prodaja   |       Beograd, Voždovac       |    83 m²    |    Novogradnja     |       2020       |                    |        2         |        5         |      Da     |           Ostalo           |     3     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                        https://www.nekretnine.rs/stambeni-objekti/stanovi/83m2-2tt-vozdovac-stan/NkKgE8KhVfX/                                       |  187 850 EUR  |
|      Stan      |  Prodaja   |       Beograd, Voždovac       |    83 m²    |    Novogradnja     |       2020       |                    |        1         |        5         |      Da     |           Ostalo           |     3     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                        https://www.nekretnine.rs/stambeni-objekti/stanovi/83m2-2tt-vozdovac-stan/NkjEI-UX813/                                       |  187 850 EUR  |
|      Stan      |  Prodaja   |       Beograd, Voždovac       |    83 m²    |    Novogradnja     |       2020       |                    |        4         |        5         |      Da     |           Ostalo           |     3     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                        https://www.nekretnine.rs/stambeni-objekti/stanovi/83m2-2tt-vozdovac-stan/NkmJ_lau9K_/                                       |  187 850 EUR  |
|      Stan      |  Prodaja   |    Beograd, Zemun (Centar)    |    68 m²    |    Novogradnja     |       2020       |                    |        3         |        8         |      Ne     |         Centralno          |     3     |               |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                             https://www.nekretnine.rs/stambeni-objekti/stanovi/zemun-centar-petra-kocica-30-68m2-183600eur/NkZfNcz6t5m/                             |  183 600 EUR  |
|      Stan      |  Prodaja   |      Beograd, Tošin bunar     |    68 m²    |    Novogradnja     |       2020       |                    |        3         |        7         |      Ne     |           Etažno           |     3     |       1       |    Ne   |  Da  |   Da   |   Ne   |   Ne  |                                    https://www.nekretnine.rs/stambeni-objekti/stanovi/zelena-avenija-3-0-lux-id1721/Nkhh9k2ngws/                                    |  183 600 EUR  |
|      Stan      |  Prodaja   |  Beograd, Zemun (Cara Dušana) |    68 m²    |    Novogradnja     |       2020       |                    |        3         |        7         |      Ne     |         Centralno          |     3     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                    https://www.nekretnine.rs/stambeni-objekti/stanovi/68m2-t-zemun--donji-grad-stan/NkVJA2DKbMT/                                    |  183 000 EUR  |
|      Stan      |  Prodaja   |       Beograd, Voždovac       |    80 m²    |    Novogradnja     |       2020       |                    |    Prizemlje     |        5         |      Da     |           Ostalo           |     3     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                         https://www.nekretnine.rs/stambeni-objekti/stanovi/80m2-t-vozdovac-stan/NkYmkwRL970/                                        |  181 650 EUR  |
